id_article_commande,id_commande,id_produit,quantite,prix_unitaire
1,1,187,3,473.88
2,1,1126,3,415.8
3,1,495,7,53.77
4,1,1045,6,329.12
5,2,1146,6,76.41
6,3,236,1,211.49
7,3,150,5,212.42
8,3,751,10,294.79
9,3,938,2,302.85
10,4,1496,8,5.51
11,4,838,2,345.55
12,5,390,10,22.41
13,5,1104,6,381.65
14,6,987,4,189.71
15,6,837,6,253.14
16,6,570,4,48.72
17,7,416,1,328.58
18,7,847,7,247.33
19,7,1096,3,363.5
20,8,730,4,322.11
21,8,597,5,288.24
22,8,1330,6,170.6
23,8,20,2,19.42
24,8,478,4,349.75
25,9,50,7,486.58
26,9,757,1,249.84
27,10,868,3,263.41
28,11,872,2,368.29
29,12,582,9,96.2
30,13,1275,4,341.01
31,14,608,4,343.41
32,15,1456,7,470.26
33,15,32,7,132.46
34,15,635,9,373.98
35,16,989,1,307.72
36,16,1181,1,239.93
37,16,939,2,418.91
38,17,682,7,352.85
39,17,131,1,254.92
40,17,217,10,46.55
41,18,625,9,65.64
42,18,5,2,363.88
43,19,151,6,33.0
44,20,696,5,330.02
45,20,347,6,83.94
46,20,474,1,176.03
47,20,1243,6,59.0
48,21,333,1,91.22
49,21,413,6,416.86
50,21,1419,4,85.26
51,21,573,7,266.25
52,22,579,4,14.43
53,22,1096,4,15.53
54,22,1477,1,363.6
55,22,841,8,406.72
56,23,1416,1,223.72
57,23,361,2,13.53
58,23,1201,8,261.35
59,23,1088,8,453.76
60,24,1395,9,408.17
61,24,408,8,95.59
62,24,935,10,252.25
63,24,602,5,10.95
64,24,917,10,232.53
65,25,221,2,397.54
66,25,308,1,486.13
67,25,1078,10,69.22
68,26,38,6,33.06
69,26,1441,2,446.25
70,26,1472,1,229.03
71,27,566,8,468.58
72,27,1315,4,302.9
73,27,1079,3,410.81
74,28,755,8,105.31
75,28,1202,9,171.31
76,29,1109,7,245.59
77,29,906,5,99.44
78,30,97,2,246.09
79,30,578,6,481.86
80,30,927,7,184.76
81,30,1095,9,472.33
82,30,474,2,256.99
83,31,1379,6,36.3
84,31,976,5,167.8
85,31,597,2,214.73
86,31,1122,4,425.06
87,31,201,2,255.9
88,32,544,6,405.25
89,32,1125,7,295.89
90,32,1081,10,157.79
91,32,730,8,214.36
92,32,451,3,364.69
93,33,344,9,88.35
94,33,708,5,181.69
95,34,1164,1,367.81
96,34,1132,2,427.99
97,34,792,7,394.4
98,34,809,5,291.08
99,34,1010,8,396.32
100,35,116,5,194.91
101,35,592,8,344.49
102,35,1280,7,48.53
103,36,669,4,90.51
104,36,1180,10,17.03
105,37,49,4,431.85
106,37,891,2,237.44
107,37,642,3,411.46
108,37,471,7,150.1
109,37,1068,10,446.22
110,38,402,10,79.63
111,38,728,5,75.84
112,38,69,10,132.19
113,38,1408,6,426.43
114,39,966,10,466.86
115,39,652,4,265.39
116,39,486,8,123.6
117,39,1046,5,205.47
118,39,218,9,251.69
119,40,1233,1,287.12
120,40,469,8,485.58
121,40,739,2,346.41
122,40,417,8,122.81
123,41,562,10,243.39
124,41,826,9,103.72
125,41,1223,8,328.95
126,41,706,6,130.05
127,42,764,7,248.76
128,42,1487,4,82.41
129,42,908,3,489.36
130,43,289,4,346.02
131,43,54,4,217.51
132,44,546,7,329.92
133,44,1108,2,62.21
134,44,882,5,20.43
135,44,169,5,135.4
136,44,1309,6,106.69
137,45,724,3,397.9
138,45,1330,5,76.78
139,45,558,3,339.36
140,46,1329,6,461.64
141,46,152,3,303.21
142,47,72,9,73.32
143,47,1052,9,134.17
144,47,31,3,102.1
145,47,1045,5,230.7
146,48,860,1,180.62
147,48,426,5,422.23
148,49,128,9,302.0
149,49,637,7,466.59
150,49,917,8,5.43
151,50,346,4,253.69
152,50,1478,1,416.78
153,50,597,2,149.37
154,51,172,10,402.5
155,51,1411,10,216.42
156,51,1367,3,464.39
157,51,855,8,259.01
158,51,426,1,227.36
159,52,135,6,377.84
160,52,1001,7,262.23
161,52,643,8,242.95
162,53,667,2,252.28
163,53,792,9,90.61
164,53,1374,6,294.72
165,53,708,10,213.04
166,54,1419,4,286.32
167,54,261,4,344.66
168,54,601,1,395.12
169,54,1187,4,87.77
170,55,1050,1,498.86
171,55,1167,10,32.79
172,56,243,3,83.85
173,56,868,9,88.28
174,56,448,4,434.71
175,56,1063,8,245.89
176,57,1428,6,159.76
177,58,1150,2,14.53
178,58,1299,10,48.04
179,58,224,5,15.14
180,58,863,7,467.77
181,59,480,4,33.25
182,59,1069,9,475.55
183,59,457,9,338.12
