id_commande,id_client,date_commande,statut_commande,montant_total,mode_commande
1,2774,2022-03-28,en cours,924.62,web
2,1718,2022-01-07,échouée,1049.49,mobile
3,3802,2020-11-22,expédiée,280.14,web
4,5335,2020-10-07,livrée,462.68,mobile
5,5010,2021-04-03,en cours,262.44,web
6,648,2025-12-14,échouée,641.88,web
7,5849,2025-09-13,échouée,1302.04,web
8,5666,2025-07-09,expédiée,1923.63,web
9,4506,2019-03-16,livrée,187.18,web
10,3110,2020-05-19,expédiée,1388.97,mobile
11,5088,2024-12-28,expédiée,676.93,mobile
12,60,2025-09-18,échouée,1461.12,web
13,5745,2025-02-20,échouée,1981.45,web
14,5331,2022-09-19,expédiée,757.12,web
15,5874,2025-02-19,en cours,158.66,mobile
16,248,2022-06-10,expédiée,494.29,web
17,3898,2023-04-07,en cours,302.64,mobile
18,4683,2023-04-17,en cours,161.08,web
19,35,2020-01-07,livrée,1476.27,mobile
20,3423,2022-11-27,échouée,1316.29,mobile
21,5173,2022-03-20,livrée,751.14,mobile
22,1021,2023-12-20,expédiée,1302.02,web
23,3320,2023-10-06,en cours,1230.63,web
24,2660,2023-10-08,livrée,397.17,mobile
25,5053,2022-10-06,expédiée,834.62,mobile
26,4741,2022-09-05,expédiée,1456.24,web
27,5555,2024-02-18,échouée,86.7,mobile
28,1366,2021-08-17,échouée,1129.51,web
29,1392,2024-09-16,expédiée,83.6,web
30,61,2022-01-27,expédiée,1231.34,mobile
31,1823,2024-11-08,livrée,1113.28,mobile
32,3287,2021-12-25,expédiée,1117.6,web
33,3395,2020-07-24,échouée,431.76,mobile
34,5360,2021-06-23,livrée,462.2,web
35,4209,2022-02-25,en cours,1810.9,web
36,2524,2023-07-01,échouée,1680.12,mobile
37,1460,2024-04-02,en cours,486.99,web
38,4188,2025-03-04,en cours,841.05,mobile
39,5453,2019-06-17,expédiée,639.68,mobile
40,4748,2020-02-29,en cours,1403.7,mobile
41,959,2021-10-29,livrée,1681.5,web
42,3527,2020-09-08,échouée,425.04,web
43,1319,2024-02-20,livrée,854.75,mobile
44,3571,2022-04-25,expédiée,434.02,web
45,5936,2020-02-13,livrée,628.86,web
46,2968,2024-09-06,échouée,1886.29,mobile
47,3779,2022-07-27,échouée,1307.54,mobile
48,775,2019-06-08,livrée,653.11,mobile
49,3369,2019-12-21,échouée,414.34,web
50,3872,2020-12-18,expédiée,1152.27,web
51,5112,2020-06-13,livrée,1311.86,mobile
52,5161,2023-04-27,échouée,615.34,web
53,2098,2019-07-18,en cours,282.63,mobile
54,3976,2022-04-02,échouée,231.75,web
55,637,2021-07-26,expédiée,1360.47,mobile
56,1450,2023-07-03,livrée,1382.38,web
57,2199,2024-12-26,livrée,1227.07,web
58,4080,2019-08-29,échouée,596.41,web
59,4876,2025-02-24,expédiée,113.12,mobile
60,4656,2024-06-18,expédiée,1023.58,web
61,4928,2022-09-09,expédiée,914.87,mobile
62,4252,2021-01-05,expédiée,786.71,web
63,4318,2025-03-15,échouée,1381.53,mobile
64,3637,2025-12-17,expédiée,1701.28,web
65,1045,2019-07-04,expédiée,391.35,mobile
66,1369,2023-07-24,expédiée,140.73,mobile
67,1696,2024-09-05,expédiée,730.27,web
68,2867,2023-07-06,en cours,830.95,mobile
69,4675,2025-05-13,expédiée,1761.71,web
70,2441,2023-10-27,livrée,1201.58,web
71,1480,2019-05-12,livrée,927.66,mobile
72,4342,2025-11-14,livrée,678.01,mobile
73,1849,2025-06-29,en cours,1748.25,mobile
74,1833,2025-08-19,échouée,1630.39,mobile
75,5129,2023-01-30,expédiée,444.93,mobile
76,2218,2025-03-27,échouée,31.66,mobile
77,4652,2025-07-06,en cours,567.97,web
78,3659,2019-10-18,expédiée,1616.92,web
79,2612,2023-04-24,en cours,921.49,mobile
80,4106,2021-04-20,expédiée,1194.77,mobile
81,1431,2019-09-17,en cours,1167.38,web
82,5706,2022-02-24,livrée,1456.34,mobile
83,4443,2019-08-13,livrée,1845.81,web
84,4853,2020-07-24,en cours,838.42,web
85,3551,2020-05-13,en cours,1508.77,web
86,154,2021-09-27,en cours,1134.75,mobile
87,316,2021-01-10,échouée,425.23,mobile
88,1850,2021-07-07,livrée,1475.37,mobile
89,3864,2022-05-21,livrée,550.17,web
90,385,2020-09-26,échouée,432.0,web
91,1698,2019-09-12,livrée,880.23,mobile
92,2870,2020-07-20,expédiée,1937.35,mobile
93,2731,2019-05-13,livrée,1110.4,web
94,4967,2020-02-11,livrée,1928.61,mobile
95,2727,2022-12-11,en cours,1639.37,web
96,2359,2019-09-07,livrée,866.3,mobile
97,2789,2023-02-23,échouée,998.27,mobile
98,2934,2024-09-23,échouée,607.59,mobile
99,2749,2025-06-10,échouée,944.69,mobile
100,4561,2019-11-26,en cours,702.6,web
101,2750,2019-06-09,livrée,1868.03,mobile
102,4200,2023-04-19,livrée,1615.55,web
103,4617,2020-10-09,livrée,1120.83,web
104,2309,2023-09-14,en cours,1332.44,mobile
105,3347,2025-09-17,en cours,479.93,mobile
106,1780,2023-05-23,en cours,1508.03,mobile
107,5743,2022-12-16,échouée,851.54,mobile
108,2376,2023-06-25,expédiée,1797.3,web
109,932,2020-12-07,expédiée,606.81,mobile
110,723,2021-04-07,expédiée,1205.57,web
111,1169,2024-02-09,livrée,1744.47,web
112,3001,2020-04-20,expédiée,695.12,web
113,573,2020-11-01,échouée,384.4,mobile
114,320,2024-05-25,en cours,1654.81,web
115,653,2020-02-16,expédiée,1084.54,mobile
116,5578,2021-03-16,expédiée,1979.9,mobile
117,1210,2025-09-14,livrée,1804.4,mobile
118,3937,2023-01-22,expédiée,197.69,mobile
119,1307,2024-04-28,expédiée,305.95,web
120,4075,2020-03-25,expédiée,71.14,web
121,274,2022-12-20,en cours,517.35,web
122,4812,2025-09-21,livrée,1470.0,web
123,2891,2023-09-16,livrée,793.57,web
124,759,2020-11-03,échouée,747.27,mobile
125,2522,2019-07-06,expédiée,1244.56,mobile
126,3838,2019-08-31,échouée,410.2,web
127,3057,2021-10-15,expédiée,1653.0,mobile
128,1266,2019-09-04,échouée,1260.23,mobile
129,1907,2023-05-24,en cours,1782.12,web
130,1056,2022-07-18,livrée,1823.45,web
131,664,2023-11-16,livrée,1555.0,mobile
132,4709,2020-01-10,échouée,1212.38,mobile
133,2709,2019-04-12,échouée,1137.35,mobile
134,3572,2023-06-07,échouée,1032.26,mobile
135,5808,2023-11-07,échouée,1679.08,web
136,5441,2023-08-21,en cours,1255.0,web
137,3753,2023-04-02,échouée,1566.54,mobile
138,5721,2024-12-04,expédiée,1034.06,web
139,5624,2025-01-28,échouée,115.93,web
140,2021,2025-07-07,en cours,367.07,web
141,4775,2021-07-29,expédiée,1539.17,web
142,1352,2019-02-03,expédiée,118.16,mobile
143,956,2025-06-26,livrée,1311.91,mobile
144,126,2020-09-12,livrée,616.95,web
145,2028,2019-03-16,échouée,1083.54,web
146,847,2023-12-09,échouée,690.64,web
147,2035,2024-04-23,échouée,1732.68,web
148,2520,2024-12-30,en cours,841.72,mobile
149,4450,2025-04-15,en cours,1186.74,mobile
