id_livraison,id_commande,date_expedition,date_livraison,statut_livraison,transporteur
1,1,2022-03-29,2022-03-31,livrée,Jacquet Clerc S.A.R.L.
2,2,2022-01-07,2022-01-13,en cours,Coulon S.A.R.L.
3,3,2020-11-23,2020-11-30,livrée,Daniel
4,4,2020-10-10,2020-10-17,en attente,Valette
5,5,2021-04-05,2021-04-12,livrée,Fernandez Gaudin S.A.R.L.
6,6,2025-12-16,2025-12-23,en cours,Charpentier
7,7,2025-09-14,2025-09-21,livrée,Noël Costa SA
8,8,2025-07-09,2025-07-14,en cours,Lesage Gauthier S.A.R.L.
9,9,2019-03-19,2019-03-25,en attente,Charrier S.A.R.L.
10,10,2020-05-21,2020-05-28,livrée,Boulanger
11,11,2024-12-29,2025-01-02,livrée,Boulanger Weiss S.A.S.
12,12,2025-09-19,2025-09-25,en attente,Masson S.A.
13,13,2025-02-20,2025-02-25,en attente,Weiss
14,14,2022-09-21,2022-09-25,livrée,Hubert S.A.R.L.
15,15,2025-02-21,2025-02-28,en cours,Cousin SA
16,16,2022-06-11,2022-06-16,en cours,Sanchez Dufour S.A.
17,17,2023-04-09,2023-04-13,en attente,Verdier Guillot SARL
18,18,2023-04-17,2023-04-18,en cours,Grenier
19,19,2020-01-07,2020-01-14,en cours,Roy SARL
20,20,2022-11-30,2022-12-02,en cours,Merle SARL
21,21,2022-03-22,2022-03-24,en cours,Bourgeois S.A.S.
22,22,2023-12-21,2023-12-26,en attente,Fernandes
23,23,2023-10-07,2023-10-09,livrée,Paris
24,24,2023-10-10,2023-10-12,livrée,Roux SARL
25,25,2022-10-08,2022-10-14,livrée,Roy
26,26,2022-09-07,2022-09-14,livrée,Bonnet
27,27,2024-02-18,2024-02-20,en cours,Buisson SARL
28,28,2021-08-19,2021-08-21,livrée,Gosselin
29,29,2024-09-17,2024-09-24,en attente,Giraud Loiseau S.A.R.L.
30,30,2022-01-29,2022-02-02,en cours,Gillet Legrand S.A.S.
31,31,2024-11-11,2024-11-12,en cours,Lebon
32,32,2021-12-28,2021-12-29,en attente,Guérin
33,33,2020-07-26,2020-07-27,en cours,Duhamel Hervé S.A.S.
34,34,2021-06-23,2021-06-30,en cours,Coulon Lebon SA
35,35,2022-02-26,2022-03-05,livrée,Lesage
36,36,2023-07-02,2023-07-07,en attente,Roche Moreau SARL
37,37,2024-04-02,2024-04-09,en attente,Laroche Lacroix S.A.R.L.
38,38,2025-03-04,2025-03-09,en attente,De Oliveira
