id_paiement,id_commande,date_paiement,montant_paye,mode_paiement,statut_paiement
1,1,2022-03-30,924.62,PayPal,accepté
2,2,2022-01-12,1049.49,Carte,refusé
3,3,2020-11-25,280.14,Carte,accepté
4,4,2020-10-11,462.68,Carte,refusé
5,5,2021-04-06,262.44,PayPal,accepté
6,6,2025-12-15,641.88,PayPal,accepté
7,7,2025-09-18,1302.04,Carte,accepté
8,8,2025-07-12,1923.63,Virement,refusé
9,9,2019-03-16,187.18,Carte,accepté
10,10,2020-05-22,1388.97,Virement,refusé
11,11,2024-12-29,676.93,Virement,refusé
12,12,2025-09-18,1461.12,Virement,accepté
13,13,2025-02-24,1981.45,Carte,refusé
14,14,2022-09-22,757.12,Virement,refusé
15,15,2025-02-24,158.66,Virement,refusé
16,16,2022-06-14,494.29,Virement,accepté
17,17,2023-04-11,302.64,Virement,refusé
18,18,2023-04-17,161.08,Virement,accepté
19,19,2020-01-08,1476.27,PayPal,refusé
20,20,2022-12-01,1316.29,Carte,accepté
21,21,2022-03-23,751.14,Virement,refusé
22,22,2023-12-20,1302.02,PayPal,refusé
23,23,2023-10-08,1230.63,Virement,refusé
24,24,2023-10-10,397.17,PayPal,refusé
25,25,2022-10-06,834.62,Virement,refusé
26,26,2022-09-05,1456.24,Virement,accepté
27,27,2024-02-23,86.7,PayPal,refusé
28,28,2021-08-19,1129.51,PayPal,accepté
29,29,2024-09-17,83.6,Virement,accepté
30,30,2022-02-01,1231.34,Carte,accepté
31,31,2024-11-13,1113.28,PayPal,accepté
32,32,2021-12-29,1117.6,Carte,accepté
33,33,2020-07-26,431.76,Virement,accepté
34,34,2021-06-28,462.2,Carte,refusé
35,35,2022-02-26,1810.9,Carte,refusé
36,36,2023-07-04,1680.12,Virement,refusé
37,37,2024-04-07,486.99,Carte,refusé
38,38,2025-03-08,841.05,Virement,refusé
39,39,2019-06-19,639.68,PayPal,accepté
40,40,2020-03-03,1403.7,Carte,accepté
41,41,2021-10-31,1681.5,PayPal,accepté
42,42,2020-09-13,425.04,Virement,accepté
43,43,2024-02-25,854.75,Carte,refusé
44,44,2022-04-28,434.02,Carte,accepté
45,45,2020-02-15,628.86,PayPal,accepté
46,46,2024-09-07,1886.29,Carte,accepté
47,47,2022-07-29,1307.54,Virement,refusé
48,48,2019-06-08,653.11,Carte,accepté
49,49,2019-12-24,414.34,PayPal,refusé
50,50,2020-12-22,1152.27,Virement,accepté
51,51,2020-06-15,1311.86,Virement,accepté
52,52,2023-04-29,615.34,Virement,accepté
53,53,2019-07-22,282.63,PayPal,refusé
54,54,2022-04-05,231.75,Carte,refusé
55,55,2021-07-28,1360.47,Carte,accepté
56,56,2023-07-06,1382.38,PayPal,accepté
57,57,2024-12-26,1227.07,Virement,refusé
58,58,2019-09-03,596.41,Virement,accepté
59,59,2025-02-28,113.12,Carte,refusé
